id,original,team,surface,pronunciation,type,org_id,image,image_page
23,会田有志,巨人,会田有志,アイダユウシ,full,23,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_76ad3faecd.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_76ad3faecd.svg
23,会田有志,巨人,有志,ユウシ,given,23,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_76ad3faecd.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_76ad3faecd.svg
24,愛斗(大瀧愛斗)(武田愛斗),西武,愛斗,アイト,registered,24,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_c6b334d973.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_c6b334d973.svg
24,大瀧愛斗(愛斗)(武田愛斗),西武,大瀧,オオタキ,family,1313,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_fa9b35bb7d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_fa9b35bb7d.svg
24,大瀧愛斗(愛斗)(武田愛斗),西武,大瀧愛斗,オオタキアイト,full,1313,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_fa9b35bb7d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_fa9b35bb7d.svg
24,大瀧愛斗(愛斗)(武田愛斗),西武,愛斗,アイト,given,1313,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_fa9b35bb7d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_fa9b35bb7d.svg
24,武田愛斗(大瀧愛斗)(愛斗),西武,武田,タケダ,family,4283,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_0ec886cfce.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_0ec886cfce.svg
24,武田愛斗(大瀧愛斗)(愛斗),西武,武田愛斗,タケダアイト,full,4283,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_0ec886cfce.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_0ec886cfce.svg
24,武田愛斗(大瀧愛斗)(愛斗),西武,愛斗,アイト,given,4283,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_0ec886cfce.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_0ec886cfce.svg
25,相羽欣厚,巨人-南海-阪神,相羽,アイバ,family,25,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_1ce2f78f4d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_1ce2f78f4d.svg
