id,original,surface,pronunciation,class,extinct,family,genus,image,image_page,wikidata
73,アカバナルリハコベ,アカバナルリハコベ,アカバナルリハコベ,双子葉,no,サクラソウ科,ルリハコベ属,http://commons.wikimedia.org/wiki/Special:FilePath/Flowers_March_2008-19.jpg,https://commons.wikimedia.org/wiki/File:Flowers_March_2008-19.jpg,Q160573
74,アカボシタツナミソウ,アカボシタツナミソウ,アカボシタツナミソウ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
75,アカマツリ,アカマツリ,アカマツリ,双子葉,no,イソマツ科,ルリマツリ属,http://commons.wikimedia.org/wiki/Special:FilePath/Plumbago_rosea01.jpg,https://commons.wikimedia.org/wiki/File:Plumbago_rosea01.jpg,Q3025990
76,アカミズキ,アカミズキ,アカミズキ,双子葉,no,アカネ科,Wendlandia,http://commons.wikimedia.org/wiki/Special:FilePath/Wendlandia_formosana_akamizuki01.jpg,https://commons.wikimedia.org/wiki/File:Wendlandia_formosana_akamizuki01.jpg,Q11130734
77,アカミタンポポ,アカミタンポポ,アカミタンポポ,双子葉,no,キク科,タンポポ属,http://commons.wikimedia.org/wiki/Special:FilePath/Taraxacum_laevigatum_Closeup_DehesaBoyaldePuertollano.jpg,https://commons.wikimedia.org/wiki/File:Taraxacum_laevigatum_Closeup_DehesaBoyaldePuertollano.jpg,Q5709255
78,アカミノイヌホオズキ,アカミノイヌホオズキ,アカミノイヌホオズキ,双子葉,no,ナス科,ナス属,http://commons.wikimedia.org/wiki/Special:FilePath/Solanum_villosum_01-10-2005_11.10.56.JPG,https://commons.wikimedia.org/wiki/File:Solanum_villosum_01-10-2005_11.10.56.JPG,Q761924
79,アカミノキ,アカミノキ,アカミノキ,双子葉,no,マメ科,アカミノキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Haematoxylon_campechianum0.jpg,https://commons.wikimedia.org/wiki/File:Haematoxylon_campechianum0.jpg,Q376320
80,アカメイヌビワ,アカメイヌビワ,アカメイヌビワ,双子葉,no,クワ科,イチジク属,http://commons.wikimedia.org/wiki/Special:FilePath/Ficus_benguetensis.jpg,https://commons.wikimedia.org/wiki/File:Ficus_benguetensis.jpg,Q11177655
81,アカメガシワ,アカメガシワ,アカメガシワ,双子葉,no,トウダイグサ科,アカメガシワ属,http://commons.wikimedia.org/wiki/Special:FilePath/Mallotus_japonicus6.jpg,https://commons.wikimedia.org/wiki/File:Mallotus_japonicus6.jpg,Q15236078
82,アカモク,アカモク,アカモク,藻類,no,Sargassaceae,ホンダワラ属,http://commons.wikimedia.org/wiki/Special:FilePath/Sargassum_horneri_Kaikyokan.jpg,https://commons.wikimedia.org/wiki/File:Sargassum_horneri_Kaikyokan.jpg,Q5785484
83,アカモノ,アカモノ,アカモノ,双子葉,no,ツツジ科,シラタマノキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Gaultheria_adenothrix_1.JPG,https://commons.wikimedia.org/wiki/File:Gaultheria_adenothrix_1.JPG,Q11282730
84,アカヤジオウ,アカヤジオウ,アカヤジオウ,双子葉,no,ハマウツボ科,Rehmannia,http://commons.wikimedia.org/wiki/Special:FilePath/Rehmannia.JPG,https://commons.wikimedia.org/wiki/File:Rehmannia.JPG,Q1071605
85,アカンカサスゲ,アカンカサスゲ,アカンカサスゲ,単子葉,no,カヤツリグサ科,スゲ属,http://commons.wikimedia.org/wiki/Special:FilePath/Carex_sordida_akankasasg02.jpg,https://commons.wikimedia.org/wiki/File:Carex_sordida_akankasasg02.jpg,Q15581257
86,アカンサス・エブラクテアタス,アカンサス・エブラクテアタス,アカンサス・エブラクテアタス,双子葉,no,キツネノマゴ科,ハアザミ属,http://commons.wikimedia.org/wiki/Special:FilePath/Acanthus_ebracteatus.jpg,https://commons.wikimedia.org/wiki/File:Acanthus_ebracteatus.jpg,Q1021949
87,アガリータ,アガリータ,アガリータ,双子葉,no,メギ科,ヒイラギナンテン属,http://commons.wikimedia.org/wiki/Special:FilePath/Agarita%2C_Agrito%2C_Algerita_%28Mahonia_trifoliolata%29.jpg,https://commons.wikimedia.org/wiki/File:Agarita%2C_Agrito%2C_Algerita_%28Mahonia_trifoliolata%29.jpg,Q10952007
88,アガヴェ・アトロヴィレンス,アガヴェ・アトロヴィレンス,アガヴェ・アトロヴィレンス,単子葉,no,クサスギカズラ科,リュウゼツラン属,http://commons.wikimedia.org/wiki/Special:FilePath/Agave_atrovirens%2C_flower_of_the_Maguey_del_Montana_%289170373139%29.jpg,https://commons.wikimedia.org/wiki/File:Agave_atrovirens%2C_flower_of_the_Maguey_del_Montana_%289170373139%29.jpg,Q2714978
89,アキギリ,アキギリ,アキギリ,双子葉,no,シソ科,アキギリ属,http://commons.wikimedia.org/wiki/Special:FilePath/Salvia_glabrescens.jpg,https://commons.wikimedia.org/wiki/File:Salvia_glabrescens.jpg,Q15359872
90,アキグミ,アキグミ,アキグミ,双子葉,no,グミ科,グミ属,http://commons.wikimedia.org/wiki/Special:FilePath/Elaeagnus_umbellata1.jpg,https://commons.wikimedia.org/wiki/File:Elaeagnus_umbellata1.jpg,Q367242
91,アキザキスノーフレーク,アキザキスノーフレーク,アキザキスノーフレーク,単子葉,no,ヒガンバナ科,アキザキスノーフレーク属,http://commons.wikimedia.org/wiki/Special:FilePath/Acis_autumnalis005.jpg,https://commons.wikimedia.org/wiki/File:Acis_autumnalis005.jpg,Q5656657
92,アキザキナギラン,アキザキナギラン,アキザキナギラン,単子葉,no,ラン科,シュンラン属,http://commons.wikimedia.org/wiki/Special:FilePath/Cymbidium_lancifolium_Hook.%2C_Exot._Fl._1_t._51_%281823%29_%2848547511721%29.jpg,https://commons.wikimedia.org/wiki/File:Cymbidium_lancifolium_Hook.%2C_Exot._Fl._1_t._51_%281823%29_%2848547511721%29.jpg,Q10891130
93,アキタスズムシソウ,アキタスズムシソウ,アキタスズムシソウ,単子葉,no,ラン科,クモキリソウ属,http://commons.wikimedia.org/wiki/Special:FilePath/Liparis_longiracemosa_1.JPG,https://commons.wikimedia.org/wiki/File:Liparis_longiracemosa_1.JPG,Q98704332
94,アキチョウジ,アキチョウジ,アキチョウジ,双子葉,no,シソ科,ヤマハッカ属,http://commons.wikimedia.org/wiki/Special:FilePath/Isodon_longitubus1.jpg,https://commons.wikimedia.org/wiki/File:Isodon_longitubus1.jpg,Q15332506
95,アキニレ,アキニレ,アキニレ,双子葉,no,ニレ科,ニレ属,http://commons.wikimedia.org/wiki/Special:FilePath/RN_Ulmus_parvifolia_%28Hilversum%29.JPG,https://commons.wikimedia.org/wiki/File:RN_Ulmus_parvifolia_%28Hilversum%29.JPG,Q1074099
96,アキノエノコログサ,アキノエノコログサ,アキノエノコログサ,単子葉,no,イネ科,エノコログサ属,http://commons.wikimedia.org/wiki/Special:FilePath/Setaria_faberi_001.jpg,https://commons.wikimedia.org/wiki/File:Setaria_faberi_001.jpg,Q163165
